<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.60,?,?,400000.0,✓,✗,✗,✓,68.61 ± 1.25 / 76.68 ± 0.93,76.71 ± 1.10 / 49.26 ± 0.74,60.16 ± 1.78 / 78.99 ± 0.93,72.03 ± 0.42 / 46.68 ± 0.45,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.60,24011361280.0,131072.0,?,✓,✗,(✓),✓,62.81 ± 2.42 / 74.64 ± 1.87,80.89 ± 1.50 / 67.98 ± 1.67,55.69 ± 4.47 / 76.90 ± 2.40,74.25 ± 3.06 / 54.69 ± 3.45,16.5.0.dev0,15.9.1.dev0,16.5.0.dev0,15.9.1.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.65,?,?,131072.0,✓,✗,✗,✓,66.10 ± 0.80 / 72.46 ± 0.71,70.34 ± 1.02 / 47.77 ± 0.79,61.32 ± 1.24 / 80.25 ± 0.65,72.11 ± 0.36 / 50.13 ± 0.71,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.65,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,67.62 ± 1.30 / 74.75 ± 1.52,88.01 ± 0.54 / 65.78 ± 1.87,44.35 ± 1.67 / 65.20 ± 1.51,71.66 ± 0.94 / 53.21 ± 0.73,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,1.67,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,63.35 ± 1.15 / 75.13 ± 0.73,79.53 ± 0.94 / 60.36 ± 0.99,57.37 ± 2.15 / 77.24 ± 1.20,69.18 ± 0.51 / 49.26 ± 0.62,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.67,?,?,?,✓,✗,✗,✓,65.32 ± 1.85 / 75.92 ± 1.21,65.43 ± 2.03 / 42.67 ± 1.47,66.85 ± 2.44 / 83.09 ± 1.24,68.41 ± 1.03 / 34.55 ± 1.38,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,1.68,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,62.67 ± 1.43 / 72.48 ± 1.16,78.18 ± 0.62 / 52.39 ± 1.17,55.95 ± 1.99 / 76.86 ± 1.15,70.09 ± 0.76 / 43.10 ± 1.13,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.71,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,58.45 ± 1.60 / 71.57 ± 1.13,80.26 ± 1.41 / 68.97 ± 1.44,51.25 ± 2.27 / 73.97 ± 1.65,78.66 ± 1.39 / 61.16 ± 1.14,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,📝,1.72,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,62.89 ± 1.14 / 74.69 ± 0.75,78.57 ± 0.77 / 60.80 ± 0.99,57.06 ± 2.50 / 76.73 ± 1.43,66.09 ± 0.74 / 47.35 ± 0.76,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.79,?,?,400000.0,✓,✗,✗,✓,65.67 ± 1.22 / 74.45 ± 0.98,66.98 ± 1.17 / 45.47 ± 0.81,55.57 ± 1.37 / 76.54 ± 0.75,72.53 ± 0.52 / 46.92 ± 0.62,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
