<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
<a href='https://hf.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF</a>,📝,2.44,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,48.91 ± 0.59 / 49.34 ± 0.32,75.62 ± 1.71 / 35.78 ± 1.61,20.38 ± 1.59 / 54.59 ± 0.89,69.74 ± 0.91 / 44.29 ± 1.88,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,2.45,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,52.03 ± 5.75 / 65.75 ± 5.58,66.65 ± 2.56 / 46.69 ± 2.56,26.72 ± 1.50 / 56.54 ± 1.26,63.49 ± 0.81 / 46.32 ± 0.68,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.46,?,256128.0,1048576.0,✓,✗,✗,✓,59.38 ± 2.18 / 69.84 ± 1.74,56.47 ± 1.37 / 34.45 ± 0.87,18.18 ± 3.70 / 53.93 ± 1.97,74.89 ± 0.97 / 51.30 ± 1.24,15.13.0,15.13.0,15.13.0,15.13.0
"xai/grok-3-mini-beta#high (zero-shot, val)</a>",🤔,2.46,?,?,131072.0,✓,✗,✗,✓,63.29 ± 2.58 / 69.93 ± 2.11,52.80 ± 1.78 / 37.85 ± 1.79,25.31 ± 1.61 / 50.41 ± 1.38,69.90 ± 0.79 / 46.73 ± 1.18,15.7.1.dev0,15.7.2,15.7.1.dev0,15.7.2
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#no-thinking (zero-shot, val)</a>",📝,2.46,?,256128.0,1048576.0,✓,✗,✗,✓,59.38 ± 2.18 / 69.84 ± 1.74,56.47 ± 1.37 / 34.45 ± 0.87,18.18 ± 3.70 / 53.93 ± 1.97,74.89 ± 0.97 / 51.30 ± 1.24,15.11.0,15.11.0,15.11.0,15.11.0
<a href='https://hf.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2</a>,🧠,2.46,7241732096.0,32000.0,4096.0,✗,✗,(✓),✗,54.85 ± 2.14 / 69.26 ± 1.90,69.60 ± 1.98 / 52.85 ± 3.07,17.86 ± 2.38 / 53.52 ± 2.48,69.38 ± 0.92 / 45.92 ± 1.01,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1</a>,📝,2.47,46702792704.0,32000.0,32768.0,✓,✗,(✓),✓,57.21 ± 1.14 / 66.91 ± 1.30,56.90 ± 3.05 / 43.87 ± 2.51,27.10 ± 1.51 / 57.00 ± 1.93,66.78 ± 0.81 / 40.53 ± 1.86,15.3.1,15.3.1,15.3.1,15.3.1
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,2.47,?,200019.0,128000.0,✓,✗,✗,✓,46.19 ± 2.23 / 47.58 ± 1.12,66.14 ± 1.43 / 35.52 ± 1.37,24.47 ± 2.48 / 50.58 ± 1.47,74.30 ± 0.85 / 51.46 ± 1.11,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/lightonai/alfred-40b-1023'>lightonai/alfred-40b-1023</a>,📝,2.47,?,65024.0,?,✓,✗,(✓),✗,53.51 ± 1.89 / 67.61 ± 2.35,60.56 ± 4.59 / 49.70 ± 2.63,26.86 ± 2.56 / 60.05 ± 3.24,67.94 ± 0.76 / 48.59 ± 2.20,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0
<a href='https://hf.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1</a>,🧠,2.47,46702792704.0,32000.0,32768.0,✓,✗,(✓),✓,49.33 ± 1.78 / 61.33 ± 1.99,70.30 ± 2.36 / 58.19 ± 2.00,18.51 ± 4.68 / 55.49 ± 4.88,72.85 ± 2.15 / 56.01 ± 2.32,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.48,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,59.48 ± 1.38 / 72.29 ± 1.17,65.73 ± 2.28 / 45.04 ± 1.19,44.61 ± 1.86 / 65.47 ± 1.95,28.96 ± 8.03 / 9.05 ± 7.18,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,2.48,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,54.27 ± 1.85 / 66.29 ± 1.77,69.33 ± 1.57 / 51.34 ± 2.47,18.93 ± 1.62 / 58.48 ± 1.03,64.67 ± 0.96 / 41.31 ± 2.29,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,2.50,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,55.99 ± 1.31 / 69.03 ± 1.15,58.03 ± 2.14 / 36.02 ± 2.08,24.49 ± 2.77 / 56.94 ± 2.11,67.67 ± 0.77 / 47.58 ± 0.92,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0
<a href='https://hf.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta</a>,📝,2.50,7241748480.0,32002.0,8192.0,✗,✗,(✓),✗,54.05 ± 1.06 / 69.30 ± 0.69,67.92 ± 1.50 / 39.37 ± 3.13,18.34 ± 1.84 / 52.20 ± 1.68,68.09 ± 1.30 / 44.41 ± 2.28,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,2.50,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,52.17 ± 1.08 / 66.97 ± 0.79,59.66 ± 2.02 / 45.62 ± 1.53,26.38 ± 1.99 / 56.24 ± 1.28,68.23 ± 0.41 / 49.50 ± 0.76,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,2.50,?,256128.0,1048576.0,✓,✗,✗,✓,58.03 ± 1.72 / 69.03 ± 1.22,59.57 ± 1.38 / 38.24 ± 1.40,20.54 ± 3.35 / 52.33 ± 1.74,69.99 ± 1.01 / 43.91 ± 1.56,15.5.0,15.5.0,15.5.0,15.5.0
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,2.51,559890946.0,250002.0,512.0,✓,✗,(✓),✗,56.84 ± 3.38 / 70.43 ± 2.60,90.74 ± 0.61 / 80.64 ± 0.56,5.82 ± 4.77 / 51.97 ± 2.65,55.11 ± 1.01 / 39.81 ± 1.25,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.51,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,51.11 ± 2.29 / 63.63 ± 1.78,48.20 ± 3.12 / 31.77 ± 1.99,42.53 ± 1.19 / 70.38 ± 0.71,60.07 ± 1.40 / 43.62 ± 1.39,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,2.51,51570323328.0,65536.0,262144.0,✓,✗,(✓),✗,49.54 ± 1.24 / 58.05 ± 2.21,59.68 ± 3.85 / 48.68 ± 2.83,26.30 ± 3.30 / 60.86 ± 2.95,70.88 ± 3.59 / 54.62 ± 2.99,15.9.2,15.9.2,15.9.2,15.9.2
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#minimal (zero-shot, val)</a>",🤔,2.51,?,100256.0,272000.0,✓,✗,✗,✓,58.82 ± 2.43 / 72.08 ± 1.49,59.85 ± 1.63 / 34.60 ± 1.27,18.94 ± 1.50 / 46.27 ± 1.43,69.22 ± 1.24 / 44.89 ± 1.07,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,2.51,?,256128.0,2097152.0,✓,✗,✗,✓,58.08 ± 1.73 / 70.09 ± 1.23,56.50 ± 2.36 / 42.03 ± 2.34,22.24 ± 2.58 / 50.65 ± 1.45,70.73 ± 0.89 / 46.56 ± 1.38,15.5.0,15.5.0,15.5.0,15.5.0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B</a>,🤔,2.51,32763876352.0,152064.0,131072.0,✓,✗,(✓),✓,61.40 ± 1.18 / 73.47 ± 0.87,65.93 ± 1.73 / 39.81 ± 2.11,25.45 ± 1.28 / 52.18 ± 0.72,53.30 ± 1.65 / 38.30 ± 1.57,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO</a>,📝,2.52,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,41.65 ± 0.93 / 46.02 ± 0.47,63.44 ± 2.61 / 55.16 ± 1.57,32.85 ± 2.23 / 64.55 ± 1.89,69.33 ± 1.13 / 49.75 ± 1.54,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.54,?,?,1047576.0,✓,✗,✗,✓,47.45 ± 2.21 / 48.74 ± 1.07,63.35 ± 1.93 / 36.24 ± 1.05,20.80 ± 2.27 / 50.26 ± 1.38,72.82 ± 0.71 / 46.73 ± 0.88,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf</a>,📝,2.55,3880099328.0,?,131072.0,✓,✗,✗,✓,59.14 ± 1.39 / 71.82 ± 1.38,61.51 ± 2.51 / 43.30 ± 1.76,18.95 ± 2.72 / 56.95 ± 1.92,63.10 ± 0.64 / 41.59 ± 0.65,15.6.1,15.6.1,15.6.1,15.6.1
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B</a>,📝,2.55,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,41.19 ± 0.77 / 45.83 ± 0.45,61.89 ± 2.61 / 52.84 ± 1.50,32.25 ± 2.08 / 63.42 ± 1.87,68.40 ± 1.66 / 49.69 ± 1.73,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.55,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,56.07 ± 1.10 / 67.45 ± 0.78,74.27 ± 1.39 / 61.07 ± 1.79,0.00 ± 0.00 / 33.74 ± 0.46,78.42 ± 1.16 / 60.89 ± 0.89,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.55,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,54.63 ± 2.64 / 68.75 ± 2.26,53.83 ± 3.45 / 44.50 ± 2.62,17.98 ± 2.28 / 57.02 ± 1.68,73.46 ± 1.27 / 57.80 ± 1.86,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.55,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,56.67 ± 1.58 / 70.69 ± 1.25,75.56 ± 1.10 / 58.46 ± 2.50,3.66 ± 2.47 / 34.35 ± 1.08,71.47 ± 1.56 / 54.45 ± 1.59,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-2-9b-it'>google/gemma-2-9b-it</a>,📝,2.55,9241705984.0,256000.0,8192.0,✓,✗,(✓),✓,63.90 ± 1.91 / 73.39 ± 1.83,42.05 ± 1.39 / 30.06 ± 1.74,25.39 ± 1.29 / 53.45 ± 0.75,70.49 ± 0.72 / 47.50 ± 1.53,15.6.1,15.6.1,15.6.1,15.6.1
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,2.55,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,65.67 ± 1.12 / 75.08 ± 1.06,82.52 ± 1.20 / 62.80 ± 1.80,25.58 ± 0.94 / 53.65 ± 0.44,24.49 ± 1.33 / 0.00 ± 0.00,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/allenai/OLMo-2-1124-13B-Instruct'>allenai/OLMo-2-1124-13B-Instruct</a>,📝,2.56,13716198400.0,100352.0,4096.0,✓,✗,(✓),✓,51.16 ± 1.77 / 63.55 ± 2.13,60.66 ± 2.05 / 39.53 ± 1.84,21.79 ± 1.49 / 54.29 ± 2.17,69.44 ± 0.59 / 50.48 ± 0.80,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,2.56,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,65.51 ± 1.25 / 75.17 ± 1.26,76.74 ± 1.01 / 64.43 ± 1.72,26.95 ± 4.63 / 60.11 ± 3.25,28.41 ± 2.04 / 0.00 ± 0.00,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.57,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,40.67 ± 2.68 / 56.24 ± 1.71,48.33 ± 3.07 / 36.30 ± 2.96,40.14 ± 6.23 / 68.49 ± 3.57,69.26 ± 1.44 / 48.66 ± 1.22,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410</a>,📝,2.57,8019808256.0,131072.0,32768.0,✓,✗,(✓),✓,57.06 ± 1.14 / 70.23 ± 1.22,59.63 ± 1.88 / 46.27 ± 2.23,13.00 ± 3.90 / 38.83 ± 2.82,71.93 ± 0.65 / 54.95 ± 0.66,15.7.1.dev0,15.7.1.dev0,15.7.1.dev0,15.7.2.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.57,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,62.38 ± 1.34 / 71.96 ± 0.87,67.23 ± 1.52 / 50.31 ± 2.19,0.00 ± 0.00 / 33.74 ± 0.46,75.14 ± 0.87 / 56.28 ± 0.73,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B</a>,🧠,2.57,34388917248.0,64000.0,4096.0,✓,✗,(✓),✗,41.89 ± 3.52 / 47.98 ± 4.05,64.92 ± 2.46 / 56.68 ± 2.11,20.22 ± 2.80 / 50.98 ± 4.86,74.69 ± 1.99 / 57.60 ± 2.46,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.58,561192082.0,250002.0,512.0,✓,✗,(✓),✓,49.60 ± 8.88 / 66.05 ± 6.32,91.13 ± 0.70 / 80.85 ± 0.87,6.66 ± 5.70 / 43.85 ± 6.52,56.33 ± 1.11 / 40.99 ± 1.15,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,2.58,?,?,200000.0,✓,✗,✗,✓,62.13 ± 2.66 / 72.26 ± 2.09,41.45 ± 2.56 / 30.66 ± 1.68,25.51 ± 2.27 / 50.83 ± 1.72,70.17 ± 1.12 / 41.20 ± 1.62,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0
<a href='https://hf.co/google/gemma-2-27b'>google/gemma-2-27b</a>,🧠,2.58,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,54.09 ± 3.47 / 67.77 ± 2.92,46.48 ± 2.43 / 41.45 ± 2.22,23.00 ± 3.73 / 52.87 ± 4.69,74.80 ± 4.50 / 59.89 ± 3.88,15.6.1,15.6.1,15.6.1,15.6.1
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.58,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,45.18 ± 0.97 / 47.57 ± 0.52,67.95 ± 1.73 / 54.28 ± 2.10,24.92 ± 1.51 / 61.73 ± 1.10,63.90 ± 0.90 / 33.34 ± 2.37,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1</a>,🧠,2.60,7241732096.0,32000.0,4096.0,✓,✗,(✓),✓,51.01 ± 2.54 / 65.92 ± 2.54,64.12 ± 3.76 / 52.83 ± 3.17,14.24 ± 3.30 / 55.71 ± 2.25,69.81 ± 1.55 / 53.76 ± 2.11,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct</a>,📝,2.60,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,44.88 ± 0.92 / 47.45 ± 0.55,71.52 ± 1.48 / 60.24 ± 1.39,19.44 ± 2.50 / 57.20 ± 2.36,64.49 ± 0.89 / 37.75 ± 1.53,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,2.60,8829407232.0,64000.0,4096.0,✓,✗,(✓),✗,50.88 ± 1.76 / 58.13 ± 2.34,64.89 ± 1.04 / 51.72 ± 1.17,12.15 ± 3.23 / 53.05 ± 3.82,72.45 ± 1.29 / 55.54 ± 1.74,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.61,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,57.29 ± 1.89 / 69.03 ± 1.96,65.93 ± 1.11 / 48.09 ± 1.75,44.74 ± 1.27 / 71.06 ± 0.74,19.61 ± 3.32 / 3.97 ± 2.44,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,2.61,574594434.0,250300.0,512.0,✓,✗,(✓),✓,40.00 ± 3.63 / 59.39 ± 2.60,88.34 ± 0.86 / 77.48 ± 0.84,11.98 ± 7.84 / 49.99 ± 7.64,61.28 ± 1.74 / 44.50 ± 2.07,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.61,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,46.21 ± 3.24 / 62.45 ± 4.53,56.70 ± 2.78 / 47.66 ± 1.46,27.40 ± 2.58 / 63.07 ± 1.49,67.48 ± 1.31 / 50.88 ± 1.65,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.61,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,32.07 ± 2.86 / 37.36 ± 2.34,64.48 ± 4.02 / 55.77 ± 3.34,25.22 ± 5.01 / 57.72 ± 5.57,76.56 ± 0.97 / 57.79 ± 2.73,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/OpenLLM-Ro/RoLlama3.1-8b-Instruct-DPO'>OpenLLM-Ro/RoLlama3.1-8b-Instruct-DPO</a>,📝,2.62,8030261248.0,128256.0,131072.0,✗,✗,(✓),✗,56.24 ± 1.63 / 70.22 ± 1.07,61.65 ± 2.64 / 52.49 ± 1.70,23.22 ± 1.42 / 53.94 ± 1.27,56.55 ± 1.13 / 25.23 ± 2.58,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/nvidia/Mistral-NeMo-Minitron-8B-Base'>nvidia/Mistral-NeMo-Minitron-8B-Base</a>,🧠,2.63,8414105600.0,131072.0,8192.0,✓,✗,(✓),✓,53.58 ± 2.78 / 68.40 ± 2.19,59.18 ± 4.50 / 52.25 ± 3.04,13.55 ± 2.67 / 46.93 ± 3.73,71.28 ± 1.65 / 52.97 ± 2.26,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base</a>,🧠,2.63,8414105600.0,131072.0,8192.0,✓,✗,(✓),✓,53.63 ± 2.81 / 68.43 ± 2.21,59.19 ± 4.57 / 52.30 ± 3.08,13.56 ± 2.78 / 46.99 ± 3.74,71.25 ± 1.65 / 52.93 ± 2.25,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,2.63,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,48.28 ± 2.29 / 63.38 ± 1.70,64.09 ± 3.32 / 54.67 ± 2.66,15.10 ± 5.80 / 43.66 ± 5.52,70.80 ± 3.84 / 54.38 ± 3.23,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M</a>,📝,2.64,?,?,?,✓,✗,✗,✓,55.85 ± 2.22 / 68.24 ± 2.08,58.67 ± 3.09 / 45.66 ± 1.87,18.03 ± 2.25 / 58.00 ± 1.44,60.83 ± 0.70 / 35.86 ± 1.39,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B</a>,🤔,2.64,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,49.47 ± 1.91 / 65.67 ± 1.22,59.35 ± 1.49 / 50.69 ± 1.88,20.70 ± 2.45 / 54.13 ± 2.20,66.78 ± 0.76 / 49.53 ± 1.74,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.64,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,45.24 ± 2.23 / 61.16 ± 1.52,55.30 ± 3.26 / 48.48 ± 2.42,22.03 ± 4.52 / 48.75 ± 3.95,74.27 ± 2.24 / 56.57 ± 1.73,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.65,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,54.89 ± 1.09 / 68.80 ± 0.68,44.29 ± 3.82 / 33.40 ± 1.97,25.00 ± 1.89 / 61.64 ± 1.31,69.60 ± 0.62 / 51.12 ± 0.89,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.66,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,57.18 ± 1.29 / 71.30 ± 0.91,60.92 ± 3.59 / 37.08 ± 1.52,34.02 ± 1.60 / 65.97 ± 1.15,33.68 ± 1.04 / 0.00 ± 0.00,15.9.2,15.9.2,15.9.2,15.9.2
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,2.66,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,56.66 ± 1.14 / 66.45 ± 0.84,53.07 ± 0.79 / 28.92 ± 0.44,16.33 ± 1.39 / 54.34 ± 0.64,67.40 ± 0.29 / 46.27 ± 0.49,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.66,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,50.06 ± 2.52 / 66.07 ± 1.92,53.70 ± 2.42 / 40.22 ± 2.22,21.50 ± 3.14 / 51.52 ± 4.37,68.98 ± 0.70 / 52.55 ± 1.31,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
